PAC,long,lat
NODE#445012615,-43.144881708224204,-19.826989731890592
NODE#444957008,-43.168965718093375,-19.81590037790005
NODE#1856060626,-43.15756980680112,-19.829526363251034
NODE#424245425,-43.15381325048111,-19.81566214209414
NODE#1981522215,-43.15249704230462,-19.822218189018145
NODE#445010717,-43.158602324737444,-19.829617196576294
NODE#424313022,-43.13711833943978,-19.82202217997957
NODE#433298383,-43.17076981207714,-19.817362404851053
NODE#445009712,-43.16259105903009,-19.811327934136784
NODE#2488240221,-43.164420078623664,-19.815680419915395
NODE#444955668,-43.170985525261756,-19.81770042133735
NODE#2486161600,-43.15824652685569,-19.828754953578198
100#351837732,-43.139054032117826,-19.819656926126186
100#351815479,-43.1549878478109,-19.815494280036944
NODE#424244008,-43.19222325999539,-19.808385372187104
NODE#499845494,-43.16805555382069,-19.81009801950796
NODE#444896913,-43.18161506128598,-19.80826056787089
NODE#537635221,-43.19237112023097,-19.808069318044545
NODE#445010232,-43.159864848783684,-19.831289499410843
NODE#434600447,-43.165160539926944,-19.83598623487677
NODE#442498016,-43.16670795930486,-19.83298428169917
NODE#445012481,-43.14976280381029,-19.818013526602897
NODE#424244738,-43.17583944963087,-19.807440692833666
NODE#424311763,-43.1498628551866,-19.817250325941757
NODE#424311784,-43.1478788878004,-19.819114122318865
NODE#424245212,-43.156903335420566,-19.818810775596774
NODE#444956553,-43.1692547934739,-19.81578542116023
NODE#442497796,-43.160829358188266,-19.8223775767637
NODE#444956373,-43.166246642168744,-19.836195879436218
NODE#444956499,-43.17017998182064,-19.816355585042174
NODE#445010972,-43.15833241930568,-19.81304595940344
NODE#433471358,-43.163056506752355,-19.82841161850132
NODE#445012601,-43.14423645544804,-19.825661419738708
NODE#434600717,-43.188930776334246,-19.808370099900117
NODE#434807196,-43.165637493575446,-19.81524749077903
NODE#433472214,-43.158202301794745,-19.831451002361803
NODE#433472423,-43.1668735155003,-19.81618641087414
NODE#424246419,-43.16278167483438,-19.814846855398002
NODE#433472937,-43.15301892248522,-19.817440389562307
NODE#445010957,-43.15863008590969,-19.81292242942652
NODE#433472938,-43.15321012824478,-19.81718512689207
NODE#445011021,-43.158519838020084,-19.829393183548518
NODE#424245316,-43.15436121100106,-19.8156764377174
NODE#433298918,-43.166529968183454,-19.835924951475306
NODE#442899907,-43.15611070264674,-19.81734883588001
NODE#424244448,-43.18588529147297,-19.809449008464924
NODE#424245900,-43.167992884563944,-19.809841767583464
NODE#445009221,-43.16390522214823,-19.815015047506392
NODE#444956609,-43.1702129797452,-19.816996569635933
NODE#445009736,-43.16241346810705,-19.811409798523357
NODE#424246284,-43.16330558928149,-19.813544501277647
NODE#1600635749,-43.187183549181384,-19.808491847420783
NODE#439761725,-43.183109197631325,-19.808320044534355
NODE#433471003,-43.16360374601601,-19.8089544236077
NODE#444955669,-43.17088012381862,-19.817906831934692
NODE#439762086,-43.1819274030272,-19.808444558369615
NODE#445012396,-43.15174324405541,-19.82099166303476
NODE#910289402,-43.17339077736244,-19.808258300679995
NODE#442497612,-43.16554336783213,-19.831594268860385
NODE#444956604,-43.170582710823396,-19.817027370516712
NODE#442497782,-43.163725203055606,-19.828317912741454
NODE#424244333,-43.1788253849835,-19.807779041169795
NODE#994575320,-43.15426069377594,-19.815692727137616
NODE#424245056,-43.1569566076613,-19.819203350354314
NODE#433471598,-43.16352551668922,-19.81227781606833
NODE#445010052,-43.161917752802026,-19.8246169651008
NODE#433471809,-43.15710433030057,-19.824756347427467
NODE#433473802,-43.14045925159314,-19.823641930030988
NODE#445010191,-43.16137415938988,-19.80740668227253
NODE#424244986,-43.1727040244711,-19.808567954347552
NODE#445009237,-43.163285064953754,-19.81057401717709
NODE#424245435,-43.1574363680939,-19.817304182741793
NODE#424312292,-43.13668937451496,-19.82143001778104
NODE#445011856,-43.15631853956893,-19.82997057078518
NODE#424244412,-43.17732305671365,-19.807456933690503
NODE#444955983,-43.16825461246037,-19.816081414125904
NODE#433471163,-43.16717447991829,-19.83383699458159
NODE#1987035705,-43.15904488381432,-19.822136822856066
NODE#434807211,-43.165781336539396,-19.81496411979822
NODE#444894785,-43.18481888888056,-19.808381003280658
NODE#434602695,-43.13843834365457,-19.820156763923478
NODE#424246994,-43.14712266228099,-19.818197229318628
NODE#445011451,-43.15546999234624,-19.81847840955089
NODE#424245380,-43.15322134369001,-19.815757273279473
NODE#445011926,-43.15319044388383,-19.815513878962292
NODE#445009547,-43.16420449044483,-19.814240102598603
NODE#424311784,-43.1478788878004,-19.819114122318865
NODE#433473352,-43.15174991972299,-19.81930314362512
NODE#445011951,-43.15488514253525,-19.81458359775479
NODE#433298739,-43.167299071994535,-19.816721651383034
NODE#442497541,-43.16778452153841,-19.834491969928422
NODE#536850935,-43.14559706944914,-19.82781147481967
NODE#424246773,-43.14688227169944,-19.81843520971711
NODE#433474728,-43.137990123345446,-19.82145915221804
NODE#434807535,-43.16627499329627,-19.815397569642073
